Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2019-0189-P,2019-03-14,2019-03-27,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51091,White,Female,44,,,,
Public Initiated,2019-0188-N,2019-03-26,2019-03-27,2019-05-07,NFIM,Completed,NFIM,,,,,,,,,50917,,,,,Male,,
Rank Initiated,2019-0190-R,2019-03-20,2019-03-27,2019-08-02,DI-1,Completed,Unfounded,PIB - Public Integrity Bureau,PIB,Force Investigation Team,Investigations,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,51076,Black,Male,59,,,,
Rank Initiated,2019-0192-R,2019-03-27,2019-03-27,2019-06-11,DI-1,Completed,Negotiated Settlement,MSB - Management Service Bureau,Administrative Duties Services,Limited Duty,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,50932,Black,Male,64,,,,
Public Initiated,2019-0193-P,2019-03-09,2019-03-29,2019-08-09,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,50974,,,,,,,
Public Initiated,2019-0193-P,2019-03-09,2019-03-29,2019-08-09,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51167,Black,Male,23,,,,
Rank Initiated,2019-0194-R,2019-03-27,2019-03-29,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,51071,White,Male,32,,,,
Rank Initiated,2019-0194-R,2019-03-27,2019-03-29,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,51074,White,Male,30,,,,
Public Initiated,2019-0256-N,,2019-04-29,2019-09-03,NFIM,Completed,NFIM,,,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51458,,,,,,,
Public Initiated,2019-0195-P,2019-03-28,2019-03-29,2019-06-07,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Motorcycle 1st Platoon,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50977,Black,Male,57,,,,
Public Initiated,2019-0196-P,,2019-03-29,2019-08-07,DI-1,Completed,Unfounded,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,,,RULE 6: OFFICIAL INFO,PARAGRAPH 01 - SECURITY OF RECORDS,50978,Black,Female,,,,,
Public Initiated,2019-0198-P,2019-03-09,2019-04-01,2019-08-08,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Fatality Unit,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,50999,Black,Male,47,,,,
Public Initiated,2019-0199-P,2019-03-29,2019-04-01,2019-08-08,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,V.O.W.S. Unit,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51065,Not Specified,Male,31,,,,
Public Initiated,2019-0199-P,2019-03-29,2019-04-01,2019-08-08,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,V.O.W.S. Unit,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51067,Black,Male,51,,,,
Public Initiated,2019-0199-P,2019-03-29,2019-04-01,2019-08-08,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,V.O.W.S. Unit,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51166,Black,Female,43,,,,
Rank Initiated,2019-0197-R,,2019-04-01,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,51003,Black,Female,,,,,
Rank Initiated,2019-0197-R,,2019-04-01,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,51004,Black,Female,,,,,
Public Initiated,2019-0201-P,2019-03-31,2019-04-01,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51005,Black,Male,47,,Male,White,34
Rank Initiated,2019-0202-N,2019-03-31,2019-04-01,2019-05-07,NFIM,Completed,NFIM,,,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51191,,,,,,,
Public Initiated,2019-0200-N,2019-03-30,2019-04-01,2019-05-07,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51009,,,,,Male,Black,
Public Initiated,2019-0203-N,2019-03-30,2019-04-01,2019-05-07,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,,,51010,,,,,Female,Black,
Public Initiated,2019-0205-P,2019-03-03,2019-04-02,2019-05-20,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,7th District,Day Watch,Property,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51209,Black,Female,34,,,,
Public Initiated,2019-0205-P,2019-03-03,2019-04-02,2019-05-20,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,7th District,Day Watch,Property,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51210,White,Female,34,,,,
Public Initiated,2019-0206-N,2019-03-29,2019-04-02,2019-05-07,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,51081,,,,,Female,Black,30
Rank Initiated,2019-0207-R,2019-04-01,2019-04-02,2019-07-23,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,MSB,Homicide Section,Squad E,,,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,51226,Black,Male,53,,,,
Rank Initiated,2019-0207-R,2019-04-01,2019-04-02,2019-07-23,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,MSB,Homicide Section,Squad E,,,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,51227,White,Male,52,,,,
Public Initiated,2019-0208-P,2019-03-30,2019-04-02,2019-07-19,DI-1,Completed,Exonerated,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51080,,,,,,,
Public Initiated,2019-0209-P,2019-04-02,2019-04-03,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51057,Black,Female,41,,Male,Black,
Public Initiated,2019-0209-P,2019-04-02,2019-04-03,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51083,White,Male,22,,Male,Black,
Rank Initiated,2019-0210-R,2019-04-03,2019-04-03,2020-07-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,,,51059,White,Male,29,,,,
Public Initiated,2019-0211-P,2019-02-23,2019-04-03,2019-05-08,Mediation,Completed,Withdrawn - Mediation,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51062,Black,Female,36,,Female,Black,49
Public Initiated,2019-0212-P,,2019-04-03,2019-05-23,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,Alternative Police Response,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51251,Black,Male,,,,,
Public Initiated,2019-0213-P,2019-04-04,2019-04-05,2020-03-10,DI-1,Completed,Not Sustained,MSB - Management Services Bureau,Records & Identification / Support Services Divisi,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51082,Black,Female,62,,Female,,35
Rank Initiated,2019-0214-R,2019-04-06,2019-04-08,2019-08-14,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51124,White,Male,28,,,,
Rank Initiated,2019-0215-R,2019-04-04,2019-04-08,2019-10-23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51231,Hispanic,Female,40,,,,
Rank Initiated,2019-0216-R,,2019-04-08,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,51142,White,Male,,,,,
Rank Initiated,2019-0216-R,,2019-04-08,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,51143,White,Male,,,,,
Rank Initiated,2019-0216-R,,2019-04-08,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,51144,White,Male,,,,,
Rank Initiated,2019-0216-R,,2019-04-08,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,51145,White,Male,,,,,
Rank Initiated,2019-0216-R,,2019-04-08,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,51146,White,Male,,,,,
Rank Initiated,2019-0216-R,,2019-04-08,2019-09-17,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 08 - FAILURE TO REPORT MISCONDUCT,51147,Black,Male,,,,,
Public Initiated,2019-0217-P,2019-04-06,2019-04-08,2019-07-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51121,White,Male,36,,Male,Black,58
Public Initiated,2019-0219-P,2019-03-13,2019-04-09,2019-08-08,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Motorcycle 1st Platoon,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51133,Black,Male,52,,Male,White,36
Public Initiated,2019-0218-N,2018-12-11,2019-04-09,2019-06-03,NFIM,Completed,NFIM,,,,,,,NO VIOLATION OBSERVED,,51985,,,,,,,
Public Initiated,2019-0220-P,2019-01-21,2019-04-10,2019-08-14,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51163,White,Female,54,,Female,White,64
Public Initiated,2019-0220-P,2019-01-21,2019-04-10,2019-08-14,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51383,Black,Female,35,,Female,White,64
Rank Initiated,2019-0222-R,2019-04-08,2019-04-10,,DI-1,Forwarded,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Crimes Staff,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51174,Black,Female,47,,,,
Public Initiated,2019-0224-P,,2019-04-10,2019-08-12,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,I.O.D.,Crime Lab Platoon A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51169,Hispanic,Male,,,Male,White,
Rank Initiated,2019-0223-R,2019-03-22,2019-04-11,2019-08-14,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Admin,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,51176,Black,Female,44,,,,
Public Initiated,2019-0226-P,2019-04-10,2019-04-11,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51347,White,Female,29,,,,
Public Initiated,2019-0226-P,2019-04-10,2019-04-11,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51347,White,Female,29,,Female,White,48
Public Initiated,2019-0227-P,2019-04-12,2019-04-12,2021-11-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 10:25pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51182,Black,Male,60,,Female,Black,51
Public Initiated,2019-0227-P,2019-04-12,2019-04-12,2021-11-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 10:25pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51302,Black,Male,63,,Female,Black,51
Public Initiated,2019-0227-P,2019-04-12,2019-04-12,2021-11-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 10:25pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51303,Hispanic,Male,30,,Female,Black,51
Public Initiated,2019-0228-P,2019-04-12,2019-04-15,2019-08-01,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51222,White,Male,32,,Male,Hispanic,42
Public Initiated,2019-0229-P,2019-04-06,2019-04-15,2019-08-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,A Platoon,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51409,Black,Male,60,,Female,Black,
Public Initiated,2019-0229-P,2019-04-06,2019-04-15,2019-08-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,A Platoon,Squad 3,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51410,Black,Female,36,,Female,Black,
Public Initiated,2019-0231-P,2018-12-26,2019-04-15,2019-08-23,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,6th District,Task Force,B,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51229,White,Male,35,,F,B,48
Public Initiated,2019-0230-P,2019-02-11,2019-04-16,2019-08-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,3rd Platoon,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51242,Hispanic,Male,25,,,,
Public Initiated,2019-0230-P,2019-02-11,2019-04-16,2019-08-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,3rd Platoon,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51244,Asian/Pacific Islander,Male,25,,,,
Public Initiated,2019-0230-P,2019-02-11,2019-04-16,2019-08-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,3rd Platoon,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51422,White,Male,52,,,,
Public Initiated,2019-0230-P,2019-02-11,2019-04-16,2019-08-23,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,3rd Platoon,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51423,White,Male,41,,,,
Rank Initiated,2019-0232-R,2019-03-23,2019-04-15,2021-07-21,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,Staff,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51246,Black,Male,23,,Male,Black,29
Rank Initiated,2019-0232-R,2019-03-23,2019-04-15,2021-07-21,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,Staff,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51248,Black,Female,45,,Male,Black,29
Rank Initiated,2019-0232-R,2019-03-23,2019-04-15,2021-07-21,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,Staff,Task Force B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51313,Black,Male,32,,Male,Black,29
Public Initiated,2019-0233-P,2019-03-04,2019-04-16,2019-08-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51250,Black,Male,49,,Female,Black,35
Public Initiated,2019-0235-P,2019-04-15,2019-04-16,2020-03-04,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,51534,Black,Female,35,,Male,,38
Rank Initiated,2019-0236-R,2019-04-04,2019-04-16,2019-06-04,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Platoon A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51502,White,Male,47,,,,
Public Initiated,2019-0238-P,2019-04-14,2019-04-16,2019-08-23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51504,Black,Male,36,,,,
Public Initiated,2019-0238-P,2019-04-14,2019-04-16,2019-08-23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51504,Black,Male,36,,Female,Black,35
Public Initiated,2019-0238-P,2019-04-14,2019-04-16,2019-08-23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51505,White,Male,37,,,,
Public Initiated,2019-0238-P,2019-04-14,2019-04-16,2019-08-23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51505,White,Male,37,,Female,Black,35
Public Initiated,2019-0240-P,2019-04-15,2019-04-16,2019-06-20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51278,Black,Male,35,,Male,Black,
Public Initiated,2019-0239-P,2019-03-15,2019-04-16,2019-06-06,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51323,Black,Female,43,,Female,Black,38
Rank Initiated,2019-0243-R,2019-04-04,2019-04-17,2019-11-11,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Platoon A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51493,Black,Male,56,,,,
Rank Initiated,2019-0243-R,2019-04-04,2019-04-17,2019-11-11,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Platoon A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51494,White,Male,40,,,,
Rank Initiated,2019-0243-R,2019-04-04,2019-04-17,2019-11-11,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Platoon A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51496,Black,Male,55,,,,
Public Initiated,2019-0242-P,2019-04-16,2019-04-17,2019-08-14,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Night Watch,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51305,White,Male,45,,Male,White,31
Public Initiated,2019-0241-P,2019-02-15,2019-04-17,2019-09-15,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51307,White,Male,41,,,,
Public Initiated,2019-0241-P,2019-02-15,2019-04-17,2019-09-15,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51307,White,Male,41,,Female,Black,78
Public Initiated,2019-0241-P,2019-02-15,2019-04-17,2019-09-15,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51417,White,Male,30,,,,
Public Initiated,2019-0241-P,2019-02-15,2019-04-17,2019-09-15,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,51417,White,Male,30,,Female,Black,78
Rank Initiated,2019-0244-R,2019-04-13,2019-04-18,2019-10-18,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51329,Black,Male,54,,,,
Rank Initiated,,,2019-04-22,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,2019-0245-P,2019-04-05,2019-04-22,2019-06-03,DI-1,Completed,Other,MSB - Management Services Bureau,MSB,Recruitment Division,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51368,White,Female,47,,,,
Public Initiated,2019-0245-P,2019-04-05,2019-04-22,2019-06-03,DI-1,Completed,Other,MSB - Management Services Bureau,MSB,Recruitment Division,,Regular Working,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,51378,Black,Male,53,,,,
