PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2018-0113,03/28/2018,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down) | Hands,L2 | L1,,Yes | Yes,Black | White,Male | Female,61 | 32,22 | 7,,,,,,,,,,,Battery on Police Officer,Yes | No
FTN2018-0119,04/04/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Rainy Conditions - Medium,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,35 | 50 | 44,18 | 20 | 22,,,,,,,,,,,Tactical Deployments,No | No | No
FTN2018-0120,04/04/2018,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Handcuffed Subject | Firearm (Exhibited) | Handcuffed Subject,L1 | L4 | L1 | L4,,Yes | Yes | Yes | Yes,Black | Black | Black | Black,Male | Male | Male | Male,30 | 26 | 35 | 35,8 | 8 | 6 | 6,,,,,,,,,,,Battery on Police Officer,No | Yes | Yes | Yes
FTN2018-0122,04/05/2018,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Call for Service,Poor,Clear Conditions,CEW,L4,,Yes,Black,Female,32,6,,,,,,,,,,,refuse verbal commands,No
FTN2018-0123,04/05/2018,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,Black,Female,33,13,,,,,,,,,,,refuse verbal commands,No
FTN2018-0139,04/07/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,29,13,,,,,,,,,,,Tactical Deployments,No
FTN2018-0126,04/09/2018,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Light,Takedown (no injury),L1,,Yes,Black,Male,31,14,,,,,,,,,,,Escape,No
FTN2022-0292,08/07/2022,FOB - Field Operations Bureau,8th District,8th District,Patrol,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes,White | Black | White | White,Male | Male | Male | Male,41 | 33 | 27 | 26,18 | 4 | 4 | 2,,,,,,,,,,,Other,No | No | No | No
FTN2020-0291,10/01/2020,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,23,3,,,,,,,,,,,Flight from an Officer,No
FTN2020-0293,10/03/2020,FOB - Field Operations Bureau,1st District,1st District,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Firearm (Exhibited) | Hands,L1 | L1 | L1,,Yes | No | Yes,White | White | White,Male | Male | Male,33 | 29 | 25,7 | 5 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2018-0128,04/09/2018,FOB - Field Operations Bureau,3rd District,Task Force,Task Force A,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Hispanic | White,Male | Male,53 | 40,15 | 8,,,,,,,,,,,Battery on Police Officer,No | Yes
FTN2018-0121,04/09/2018,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,Limited,White,Male,28,6,,,,,,,,,,,Flight from an Officer,Yes
FTN2018-0127,04/09/2018,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Other,Hands | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | White,Female | Female | Male,32 | 42 | 54,15 | 18 | 26,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2018-0129,04/09/2018,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,52,15,,,,,,,,,,,Flight from an Officer,No
FTN2018-0130,04/11/2018,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,Yes,Hispanic,Male,30,7,,,,,,,,,,,Resisting Officer w/Weapon,No
FTN2018-0146,04/21/2018,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,41,24,,,,,,,,,,,Other,No
FTN2022-0321,08/26/2022,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,Hispanic,Male,24,3,,,,,,,,,,,refuse verbal commands,No
FTN2020-0294,10/04/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Firearm (Exhibited),L1 | L1,,No | Yes,White | Black,Male | Male,42 | 24,12 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2020-0295,10/05/2020,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Call for Service,Good,Clear Conditions,CEW Deployment | CEW Deployment | CEW Deployment | CEW Deployment,L2 | L2 | L2 | L2,,No | Yes | Yes | Yes,Black | Black | White | White,Male | Male | Male | Female,36 | 36 | 43 | 41,16 | 16 | 24 | 8,,,,,,,,,,,Weapon Exhibited,No | No | No | No
FTN2020-0296,10/06/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,,No | No | Yes | No,Black | Black | Black | White,Male | Male | Male | Male,40 | 40 | 48 | 44,16 | 18 | 25 | 8,,,,,,,,,,,refuse verbal commands,No | No | No | No
FTN2021-0373,11/22/2021,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Asian/Pacific Islander,Male,33,2,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2021-0374,11/22/2021,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | White,Female | Male,40 | 24,14 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2021-0410,11/25/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,White | Black,Male | Male,42 | 28,10 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2018-0143,04/19/2018,FOB - Field Operations Bureau,3rd District,,,,,Completed,Cancel FIT FTN,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes,White | White | Black | White | White,Male | Male | Male | Male | Male,28 | 40 | 32 | 25 | 34,9 | 8 | 8 | 8 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No | Yes | No | No
FTN2018-0264,07/20/2018,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,31,5,,,,,,,,,,,Other,No
FTN2020-0298,10/06/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,Black,Male,34,3,,,,,,,,,,,refuse verbal commands,No
FTN2020-0300,10/08/2020,FOB - Field Operations Bureau,8th District,C Platoon,patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,,Yes,Black,Male,50,25,,,,,,,,,,,refuse verbal commands,No
FTN2020-0299,10/08/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,White | Black,Male | Female,46 | 36,15 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2020-0301,10/10/2020,FOB - Field Operations Bureau,6th District,K9 Section,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Canine (No Bite),L1 | L2,,No | Yes,White | White,Male | Male,61 | 61,16 | 16,,,,,,,,,,,Flight from an Officer,No | No
FTN2018-0153,04/26/2018,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | White,Male | Male,24 | 35,5 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2018-0155,04/27/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,44,22,,,,,,,,,,,Tactical Deployments,No
FTN2018-0203,05/28/2018,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | White,Male | Male,34 | 30,13 | 5,,,,,,,,,,,Resisting Lawful Arrest,Yes | No
FTN2020-0186,06/29/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,27,6,,,,,,,,,,,Flight from an Officer,No
FTN2016-0388,07/30/2016,FOB - Field Operations Bureau,4th District,1st Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | White,Male | Male,46 | 39,13 | 7,,,,,,,,,,,Resisting Lawful Arrest,No | Yes
FTN2022-0290,08/07/2022,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,No | No,Black | Black,Male | Male,25 | 23,3 | 2,,,,,,,,,,,Flight from an Officer,No | No
FTN2020-0302,10/11/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Hands | Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes,Black | Black | Black | Black,Male | Male | Male | Male,45 | 34 | 27 | 26,19 | 6 | 3 | 3,,,,,,,,,,,Flight from an Officer,No | No | No | No
FTN2020-0304,10/13/2020,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,31,9,,,,,,,,,,,Weapon Exhibited,No
FTN2020-0303,10/13/2020,FOB - Field Operations Bureau,Special Operations Division,Day Watch,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Not Specified,Male,32,8,,,,,,,,,,,Tactical Deployments,No
FTN2020-0305,10/18/2020,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,CEW Deployment,L2,,Yes,Black,Male,39,10,,,,,,,,,,,Flight from an Officer,No
FTN2020-0306,10/19/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Male | Male,64 | 48,45 | 25,,,,,,,,,,,Other,No | No
FTN2021-0375,11/26/2021,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,28,6,,,,,,,,,,,refuse verbal commands,No
FTN2018-0169,05/04/2018,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Escort Tech),L1,,Yes,White,Male,31,7,,,,,,,,,,,Other,No
FTN2018-0317,08/25/2018,FOB - Field Operations Bureau,1st District,D.I.U.,Staff,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes,Black | Black | White | Hispanic,Male | Male | Male | Male,44 | 41 | 46 | 28,17 | 25 | 24 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No
FTN2018-0331,09/03/2018,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down) | Hands | Force (Take Down),L2 | L1 | L2,,Yes | Yes | Yes,White | White | Hispanic,Male | Male | Male,46 | 31 | 25,15 | 8 | 6,,,,,,,,,,,Resisting Lawful Arrest,Yes | No | No
FTN2020-0310,10/22/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | Hispanic,Male | Male,44 | 43,24 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2020-0309,10/22/2020,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Shotgun (Pointed) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Hispanic | Black,Male | Male,55 | 33,15 | 13,,,,,,,,,,,Weapon Exhibited,No | No
FTN2021-0131,10/22/2020,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,- Hands (with injury) | Hands,L2 | L1,,Yes | Yes,Black | Black,Male | Female,32 | 32,7 | 4,,,,,,,,,,,refuse verbal commands,No | No
FTN2020-0313,10/24/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down),L2,,Yes,Black,Male,53,32,,,,,,,,,,,refuse verbal commands,No
FTN2021-0376,11/30/2021,FOB - Field Operations Bureau,2nd District,DIU Persons,DIU Persons DIU,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,37,9,,,,,,,,,,,Flight from an Officer,No
FTN2021-0377,11/30/2021,FOB - Field Operations Bureau,Special Operations Division,Tact 1,Tact 1,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury) | Takedown (w/injury) | Takedown (w/injury),L2 | L2 | L2,,Yes | Yes | Yes,White | Black | Black,Male | Male | Male,33 | 32 | 29,13 | 6 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2021-0043,02/11/2021,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Male,45,4,,,,,,,,,,,Other,No
FTN2021-0048,02/14/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,No,Not Specified,Male,30,4,,,,,,,,,,,refuse verbal commands,No
FTN2021-0068,03/03/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Hands | Hands | Hands | Takedown (no injury) | Hands,L1 | L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes | Yes,White | White | White | White | White | White,Male | Male | Male | Male | Male | Male,34 | 29 | 27 | 30 | 22 | 27,7 | 5 | 5 | 5 | 3 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No | No
FTN2020-0317,10/30/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Not Used,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,30,3,,,,,,,,,,,Resisting Officer w/Weapon,No
FTN2021-0382,12/04/2021,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Hands,L1 | L1,,Yes | Yes,Black | Black,Male | Male,38 | 38,6 | 6,,,,,,,,,,,refuse verbal commands,No | No
FTN2016-0193,04/05/2016,FOB - Field Operations Bureau,4th District,4th District,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,34,16,,,,,,,,,,,Other,No
FTN2018-0205,05/30/2018,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,CEW Deployment | Firearm (Exhibited) | CEW Deployment,L2 | L1 | L2,,Yes | Yes | Limited,White | White | White,Male | Male | Male,25 | 34 | 34,8 | 6 | 6,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2019-0367,12/02/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | Asian/Pacific Islander | Hispanic,Female | Male | Male,33 | 25 | 37,6 | 5 | 5,,,,,,,,,,,Weapon Exhibited,No | No | No
FTN2019-0369,12/02/2019,FOB - Field Operations Bureau,1st District,Task Force,Task Force A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (w/injury),L2,,Yes,White,Male,36,15,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2022-0297,08/08/2022,FOB - Field Operations Bureau,2nd District,2nd District,DCAT,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Other | Other,L1 | L1,,Yes | Yes,Hispanic | Black,Male | Male,30 | 28,6 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2020-0319,10/31/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | Black,Male | Male,27 | 30,4 | 3,,,,,,,,,,,Other,No | No
FTN2018-0206,05/31/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,46,25,,,,,,,,,,,Other,No
FTN2018-0207,05/31/2018,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,22,5,,,,,,,,,,,Flight from an Officer,No
FTN2018-0208,06/02/2018,FOB - Field Operations Bureau,3rd District,Task Force A,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,CEW Deployment | Firearm (Exhibited),L2 | L1,,Yes | No,Hispanic | White,Male | Male,53 | 34,15 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
